work_id,clinical_research_context
W00001,cardiovascular
W00003,cardiovascular
W00004,healthy_or_method_dev
W00005,cerebrovascular_stroke
W00006,cardiovascular
W00007,healthy_or_method_dev
W00008,healthy_or_method_dev
W00009,oncology
W00010,cerebrovascular_stroke
W00011,healthy_or_method_dev
W00012,healthy_or_method_dev
W00014,oncology
W00015,oncology
W00016,other_or_unclear
W00018,healthy_or_method_dev
W00019,cardiovascular
W00020,healthy_or_method_dev
W00021,healthy_or_method_dev
W00022,cardiovascular
W00023,oncology
W00024,healthy_or_method_dev
W00025,musculoskeletal_spine
W00026,oncology
W00027,oncology
W00028,other_or_unclear
W00029,cardiovascular
W00030,cardiovascular
W00031,healthy_or_method_dev
W00032,cerebrovascular_stroke
W00033,gastrointestinal_other_organs
W00034,musculoskeletal_spine
W00036,oncology
W00037,healthy_or_method_dev
W00038,healthy_or_method_dev
W00040,neurodegeneration
W00041,healthy_or_method_dev
W00042,oncology
W00043,other_or_unclear
W00044,healthy_or_method_dev
W00045,gastrointestinal_other_organs
W00046,oncology
W00047,healthy_or_method_dev
W00049,other_or_unclear
W00052,healthy_or_method_dev
W00053,healthy_or_method_dev
W00054,healthy_or_method_dev
W00085,cerebrovascular_stroke
W00086,musculoskeletal_spine
W00087,healthy_or_method_dev
W00109,gastrointestinal_other_organs
W00110,healthy_or_method_dev