work_id,mri_subtype,application_task,physics_model,architecture_class,data_type,rationale
W00001,perfusion,perfusion_quantification,tracer_kinetics,physics_CNN_UNet,in_vivo_patients,"Uses DSC-MRI with tracer kinetics PDE in CNN loss, validated on patients."
W00003,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,mix,"Enhanced PINNs with flow rate constraints for 4D Flow MRI correction, validated on CFD and patients."
W00004,MREPT,EPT,Maxwell_MREPT,PINN_MLP,mix,"Uses modified PINN (FCNN) with Maxwell-derived PDE for electrical property tomography, validated on phantoms."
W00005,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,mix,"Physics-informed reduced-order model for brain hemodynamics validated against 4D Flow MRI."
W00006,cine_MRI,motion_registration,elasticity,PINN_MLP,in_vivo_volunteers,"WarpPINN uses hyperelastic regularization for Cine-MR registration, tested on volunteers."
W00007,other_MRI,parameter_mapping,unclear,other_DL,mix,"Model-constrained deep learning for MRS metabolite quantification using quantum-mechanical simulations."
W00008,perfusion,perfusion_quantification,tracer_kinetics,other_DL,mix,"Physics-informed unsupervised DNN for CBF/ATT estimation in ASL MRI, compared to supervised methods."
W00009,diffusion,denoising,diffusion,physics_CNN_UNet,in_vivo_patients,"PIND uses physics-informed loss to denoise high b-value DWI, validated on prostate cancer patients."
W00010,diffusion,parameter_mapping,diffusion,PINN_MLP,in_vivo_patients,"PINN fitting approach for IVIM parameters in cerebrovascular disease patients."
W00011,synthetic_MRI,reconstruction,Bloch,physics_CNN_UNet,mix,"Physics-informed GAN-based method synthesizing contrasts from transient-state acquisition."
W00012,diffusion,parameter_mapping,diffusion,PINN_MLP,mix,"Estimates diffusion coefficient in brain using PINNs, validated with synthetic and MRI data."
W00014,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,simulation,"PINNs incorporate diffusion into pharmacokinetic models for DCE-MRI vascularization data."
W00015,other_MRI,parameter_mapping,diffusion,PINN_MLP,mix,"PINNs estimate patient-specific reaction-diffusion growth parameters for Glioblastoma from structural MRI."
W00016,perfusion,perfusion_quantification,tracer_kinetics,other_DL,mix,"Simulation-based physics-informed network (SPINNED) for DSC-MRI deconvolution."
W00018,MREPT,EPT,Maxwell_MREPT,Fourier_operator,mix,"PIFON-EPT uses Fourier Networks with Helmholtz equation for electrical property reconstruction."
W00019,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"XT-YT U-Net incorporates MR acquisition model for radial dynamic MRI reconstruction."
W00020,reconstruction,reconstruction,diffusion,PINN_MLP,simulation,"PINNs correct ferric ion diffusion in Fricke gel dosimeters measured via MRI."
W00021,diffusion,parameter_mapping,diffusion,other_DL,in_vivo_volunteers,"Self-supervised deep learning (DIMOND) optimizes diffusion model parameters for microstructure mapping."
W00022,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,in_vivo_patients,"Reduced-order Navier-Stokes PINN estimates pulmonary artery pressure from 4D Flow MRI."
W00023,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,mix,"PINNs recover voxel-wise tissue response functions for DSC perfusion quantification."
W00024,reconstruction,reconstruction,Bloch,physics_CNN_UNet,phantom,"T2-deblurred superresolution GAN modeling TSE physics, tested on mouse embryo models."
W00025,reconstruction,reconstruction,Bloch,unrolled,simulation,"Joint B0 and image reconstruction in low-field MRI using physics-informed unrolled network (SH-Net)."
W00026,perfusion,perfusion_quantification,tracer_kinetics,other_DL,mix,"Compares physics-informed RNNs (GRU/LSTM) for DCE-MRI parameter estimation in pancreatic cancer."
W00027,other_MRI,elastography,elasticity,PINN_MLP,mix,"PINNs with Neo-Hookean model estimate prostate stiffness using MRI-derived geometries."
W00028,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,in_vivo_patients,"SUPINN estimates cerebral blood flow in infants from ASL using spatial uncertainty."
W00029,4D_flow,flow_estimation,Navier_Stokes,physics_CNN_UNet,in_vivo_patients,"Fluid physics-informed CycleGAN derives 3D aortic hemodynamics from anatomical MRI."
W00030,reconstruction,reconstruction,unclear,unrolled,in_vivo_volunteers,"Unrolled NN for cine MRI reconstruction using supervised dictionary learning."
W00031,diffusion,parameter_mapping,diffusion,PINN_MLP,in_vivo_patients,"PINN solves advection-diffusion inverse problem for molecular transport in brain ECS."
W00032,4D_flow,flow_estimation,Navier_Stokes,physics_CNN_UNet,mix,"Super-resolution 4D Flow MRI using deep learning coupled with physics-informed pressure estimation."
W00033,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"Deep complex convolution network for fat-water separation compared in ad-hoc physics reconstruction."
W00034,qMRI_relaxometry,parameter_mapping,Bloch,physics_CNN_UNet,in_vivo_patients,"Myo-DINO uses EPG-based loss for T2/Fat Fraction mapping in neuromuscular disorders."
W00036,diffusion,parameter_mapping,diffusion,other_DL,mix,"Unsupervised physics-informed network (IVIM-NET) for IVIM fitting in pancreatic cancer."
W00037,perfusion,perfusion_quantification,tracer_kinetics,other_DL,mix,"Simulation-based DNNs for multiparametric ASL estimation compared to lookup tables."
W00038,reconstruction,reconstruction,diffusion,other_DL,mix,"Physics-informed k-space interpolation using heat diffusion prior for MRI reconstruction."
W00040,fMRI,other_task,unclear,PINN_MLP,in_vivo_patients,"Finite Basis Physics Neural Network used to classify Alzheimer's disease from ADNI data."
W00041,qMRI_relaxometry,parameter_mapping,Bloch,PINN_MLP,mix,"Self-supervised PINN for phase-cycled bSSFP relaxometry compared to supervised methods."
W00042,diffusion,parameter_mapping,diffusion,autoencoder,mix,"Physics-Informed Autoencoder (PIA) for prostate microstructure profiling using hybrid MRI."
W00043,other_MRI,motion_registration,elasticity,other_DL,mix,"Neural ODEs with elasticity constraints for brain MRI and zebrafish registration."
W00044,reconstruction,reconstruction,unclear,physics_CNN_UNet,mix,"PI-MoCoNet corrects motion artifacts using spatial and k-space consistency losses."
W00045,diffusion,parameter_mapping,diffusion,other_DL,mix,"Unsupervised neural network for tri-exponential IVIM fitting in NAFLD patients."
W00046,perfusion,perfusion_quantification,tracer_kinetics,physics_CNN_UNet,mix,"Spatial-temporal unsupervised deep learning (STUDE) for DCE-MRI PK parameter estimation."
W00047,qMRI_relaxometry,parameter_mapping,Bloch,other_DL,mix,"Physics-informed implicit neural representation for spatio-temporal MR fingerprinting."
W00049,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"Physics-informed synthetic data framework (PISF) for generalizable fast MRI reconstruction."
W00052,other_MRI,motion_registration,elasticity,physics_CNN_UNet,in_vivo_volunteers,"ElasticMorph adds Navier-Cauchy regularization to CNN backbones for brain registration."
W00053,qMRI_relaxometry,parameter_mapping,Bloch,other_DL,mix,"Physics-informed motion correction (PHIMO+) for T2* quantification."
W00054,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"Joint image and motion estimation network for 3D MRI motion correction."
W00085,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,simulation,"Input Parameterized PINN enhances resolution of 4D-Flow MRI using synthetic blood flow data."
W00086,other_MRI,elastography,elasticity,PINN_MLP,mix,"Integrates FEA and PINNs for lumbar spine material property prediction from CT/MRI."
W00087,reconstruction,reconstruction,unclear,other_DL,mix,"PINN-DADif uses adaptive diffusion priors with physics regularization for MRI reconstruction."
W00109,other_MRI,flow_estimation,Navier_Stokes,PINN_MLP,in_vivo_volunteers,"MRI-MECH models esophagus as flexible tube using 1D flow equations and PINNs."
W00110,MREPT,EPT,Maxwell_MREPT,PINN_MLP,mix,"PINN-MREPT with optimizable diffusion coefficient for electrical property tomography."